"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Luka Doncic","DAL","PG DTD","2,370","646","686","38","99",".487",".786","284","282","70","2,624","478","520","2.43","149"
"Shai Gilgeous-Alexander","OKC","PG,SG","2,254","415","465","67","150",".535",".874","95","162","75","2,553","567","701","2.87","184"
"Giannis Antetokounmpo","MIL","PF,C DTD","2,222","841","476","79","87",".611",".657","34","250","73","2,567","514","803","1.90","210"
"Jalen Brunson","NYK","PG,SG DTD","2,212","278","519","13","70",".479",".847","211","186","77","2,726","421","579","2.79","144"
"Nikola Jokic","DEN","C DTD","2,085","976","708","68","108",".583",".817","83","237","79","2,737","358","739","2.99","194"
"Anthony Edwards","MIN","SG,SF","2,049","430","405","42","101",".461",".836","190","241","79","2,770","423","528","1.68","141"
"Kevin Durant","PHO","SF,PF","2,032","495","378","91","69",".523",".856","168","244","75","2,791","362","583","1.55","133"
"Jayson Tatum","BOS","SF,PF","1,987","601","364","43","75",".471",".833","229","188","74","2,645","414","443","1.94","145"
"De'Aaron Fox","SAC","PG","1,966","340","418","31","150",".465",".738","214","194","74","2,659","312","506","2.15","193"
"Stephen Curry","GSW","PG,SG","1,956","330","379","28","54",".450",".923","357","210","74","2,421","299","293","1.80","117"
"DeMar DeRozan","CHI","PF,SF,SG DTD","1,897","340","421","45","90",".480",".853","75","135","79","2,989","522","575","3.12","161"
"Anthony Davis","LAL","PF,C DTD","1,876","961","266","178","91",".556",".816","29","159","76","2,700","421","684","1.67","177"
"Devin Booker","PHO","PG,SF,SG","1,841","308","472","28","61",".492",".886","152","178","68","2,447","405","490","2.65","206"
"LeBron James","LAL","PF,SF DTD","1,822","518","589","38","89",".540",".750","149","245","71","2,504","303","536","2.40","78"
"Tyrese Maxey","PHI","PG,SG","1,816","258","433","33","69",".450",".868","212","116","70","2,626","328","426","3.73","151"
"Paolo Banchero","ORL","PF,SF","1,804","554","431","47","71",".455",".725","119","247","80","2,799","405","521","1.74","153"
"Damian Lillard","MIL","PG","1,775","320","508","18","72",".424",".920","220","193","73","2,579","473","321","2.63","134"
"Dejounte Murray","ATL","PG,SG","1,753","416","502","24","111",".459",".794","201","201","78","2,783","208","471","2.50","138"
"Pascal Siakam","IND","PF,C","1,737","565","342","25","63",".536",".732","85","141","80","2,658","290","596","2.43","193"
"Paul George","LAC","SF,PF,SG","1,671","388","262","37","113",".471",".907","243","153","74","2,502","264","339","1.71","202"
"Kawhi Leonard","LAC","PF,SF,SG DTD","1,613","416","244","59","111",".525",".885","140","119","68","2,330","253","470","2.05","97"
"Jaylen Brown","BOS","SG,SF","1,610","387","249","37","83",".499",".703","145","166","70","2,343","211","482","1.50","185"
"Jalen Green","HOU","PG,SG","1,610","423","291","28","66",".423",".804","201","191","82","2,602","283","362","1.52","115"
"Mikal Bridges","BKN","PF,SF,SG","1,606","372","299","30","81",".436",".814","220","164","82","2,854","258","344","1.82","116"
"Zion Williamson","NOR","C,PF OUT","1,601","406","352","47","77",".570",".702","6","193","70","2,207","347","618","1.82","159"
"Domantas Sabonis","SAC","PF,C","1,593","1,120","673","48","74",".594",".704","33","272","82","2,928","292","601","2.47","250"
"Kyle Kuzma","WAS","SF,PF DTD","1,553","465","296","49","37",".463",".775","151","192","70","2,281","186","457","1.54","153"
"Victor Wembanyama","SAS","C,PF","1,522","755","274","254","88",".465",".796","128","260","71","2,106","292","423","1.05","153"
"Coby White","CHI","PG,SG DTD","1,509","358","405","18","53",".448",".839","209","166","79","2,881","218","332","2.44","186"
"Kyrie Irving","DAL","PG,SG","1,487","290","299","28","74",".497",".905","173","106","58","2,030","190","389","2.82","112"
"Jaren Jackson Jr.","MEM","PF,C","1,486","365","154","106","80",".444",".808","117","160","66","2,124","337","399","0.96","235"
"Cam Thomas","BKN","SF,SG","1,482","214","192","16","45",".442",".856","144","124","66","2,075","286","382","1.55","138"
"Donovan Mitchell","CLE","PG,SG DTD","1,463","280","333","30","101",".462",".865","182","154","55","1,943","275","321","2.16","118"
"Collin Sexton","UTH","PG,SG","1,458","205","383","18","62",".488",".860","128","165","78","2,075","318","378","2.32","154"
"Miles Bridges","CHA","SF,PF","1,449","505","231","33","65",".462",".825","157","138","69","2,581","174","402","1.67","118"
"Franz Wagner","ORL","PF,SF,SG DTD","1,421","381","269","28","76",".481",".850","94","137","72","2,337","271","434","1.96","168"
"Cade Cunningham","DET","PG,SG DTD","1,405","268","464","22","56",".449",".869","119","212","62","2,074","238","405","2.19","153"
"Tyrese Haliburton","IND","PG,SG DTD","1,389","271","752","48","83",".477",".855","195","159","69","2,224","194","305","4.73","75"
"Trae Young","ATL","PG","1,389","149","583","11","72",".430",".855","175","235","54","1,942","348","258","2.48","109"
"Klay Thompson","GSW","SG,SF DTD","1,375","254","176","35","50",".433",".927","268","117","77","2,284","127","222","1.50","127"
"Nikola Vucevic","CHI","C","1,370","801","254","60","50",".484",".822","92","120","76","2,610","106","494","2.12","190"
"D'Angelo Russell","LAL","PG,SG","1,369","236","482","36","69",".456",".828","226","156","76","2,484","159","266","3.09","156"
"Bam Adebayo","MIA","C DTD","1,367","737","278","66","81",".521",".755","15","162","71","2,416","292","515","1.72","159"
"Chet Holmgren","OKC","C,PF","1,357","648","200","190","53",".530",".793","129","131","82","2,413","218","376","1.53","197"
"Michael Porter Jr.","DEN","PF,SF DTD","1,356","565","122","53","42",".484",".836","220","92","81","2,565","92","302","1.33","148"
